SensorID,Local,Latitude,Longitude,Temperatura,Umidade,Vibracao,Qualidade_Solo,Risco,Data_Registro,Local_Enc,Risco_Enc
SENSOR-00066,Vale Seguro,-23.373917,-46.795823,38.9,29.53,7.56,56.69,Alto,2025-03-05,4,0
SENSOR-00067,Serra Branca,-23.028767,-46.373282,23.14,22.97,6.26,3.91,Alto,2025-03-21,3,0
SENSOR-00068,Morro Azul,-23.121463,-46.485095,20.58,25.11,4.43,55.88,Médio,2025-05-18,2,2
SENSOR-00069,Vale Seguro,-23.449693,-46.450288,21.51,61.93,2.79,9.07,Alto,2025-04-03,4,0
SENSOR-00070,Serra Branca,-23.192994,-46.412247,34.23,35.94,8.81,48.47,Alto,2025-04-27,3,0
SENSOR-00071,Serra Branca,-23.349654,-46.66336,33.32,81.33,0.63,80.58,Baixo,2025-03-31,3,1
SENSOR-00072,Serra Branca,-23.242818,-46.371779,34.65,59.29,8.95,48.14,Alto,2025-04-06,3,0
SENSOR-00073,Colina Alta,-23.193956,-46.359845,28.93,44.65,7.64,97.21,Alto,2025-03-09,0,0
SENSOR-00074,Encosta Verde,-23.096731,-46.587248,22.87,49.53,7.2,38.51,Alto,2025-04-02,1,0
SENSOR-00075,Morro Azul,-23.160268,-46.662168,18.66,60.67,5.88,59.45,Médio,2025-04-10,2,2
SENSOR-00076,Serra Branca,-23.315914,-46.470082,27.65,90.27,4.86,75.72,Médio,2025-04-30,3,2
SENSOR-00077,Vale Seguro,-23.141123,-46.435016,20.93,44.28,6.71,82.84,Médio,2025-05-06,4,2
SENSOR-00078,Serra Branca,-23.191385,-46.301277,31.35,73.18,3.2,75.11,Baixo,2025-03-15,3,1
SENSOR-00079,Vale Seguro,-23.39331,-46.557494,37.05,40.99,2.96,14.73,Alto,2025-03-31,4,0
SENSOR-00080,Morro Azul,-23.183779,-46.347448,33.61,24.6,0.97,53.66,Baixo,2025-04-21,2,1
SENSOR-00081,Serra Branca,-23.407154,-46.521894,26.67,62.66,3.5,98.09,Baixo,2025-05-08,3,1
SENSOR-00082,Vale Seguro,-23.10905,-46.651003,21.88,87.56,4.81,48.92,Médio,2025-05-26,4,2
SENSOR-00083,Serra Branca,-23.079056,-46.423,34.02,68.16,1.86,76.04,Baixo,2025-05-26,3,1
SENSOR-00084,Serra Branca,-23.216256,-46.510822,30.49,76.44,4.79,11.56,Alto,2025-05-05,3,0
SENSOR-00085,Serra Branca,-23.258295,-46.574428,27.04,59.28,8.87,12.1,Alto,2025-04-25,3,0
SENSOR-00086,Encosta Verde,-23.356829,-46.716298,34.49,38.62,9.84,38.79,Alto,2025-04-03,1,0
SENSOR-00087,Serra Branca,-23.413963,-46.400532,30.62,40.48,7.33,71.48,Alto,2025-05-26,3,0
SENSOR-00088,Serra Branca,-23.291602,-46.785685,17.51,42.58,4.73,76.22,Médio,2025-03-06,3,2
SENSOR-00089,Morro Azul,-23.351365,-46.519338,28.26,82.67,6.09,15.88,Alto,2025-05-03,2,0
SENSOR-00090,Vale Seguro,-23.023579,-46.466105,38.32,89.54,0.28,29.58,Alto,2025-03-12,4,0
SENSOR-00091,Colina Alta,-23.356434,-46.378418,26.38,68.55,3.14,13.71,Alto,2025-04-03,0,0
SENSOR-00092,Vale Seguro,-23.109255,-46.454322,27.78,87.31,4.86,41.12,Médio,2025-03-31,4,2
SENSOR-00093,Colina Alta,-23.276848,-46.66526,39.52,32.73,1.73,2.26,Alto,2025-03-26,0,0
SENSOR-00094,Colina Alta,-23.023137,-46.571053,16.64,20.85,2.6,11.27,Alto,2025-03-14,0,0
SENSOR-00095,Colina Alta,-23.446527,-46.619842,38.75,64.89,6.79,75.48,Médio,2025-04-23,0,2
SENSOR-00096,Morro Azul,-23.065354,-46.774002,31.21,78.8,7.67,79.95,Alto,2025-04-17,2,0
SENSOR-00097,Colina Alta,-23.384545,-46.481016,30.84,31.23,2.52,4.56,Alto,2025-05-11,0,0
SENSOR-00098,Morro Azul,-23.205699,-46.457342,23.86,48.6,2.66,53.27,Baixo,2025-05-09,2,1
SENSOR-00099,Morro Azul,-23.202248,-46.509018,28.99,92.66,9.68,37.38,Alto,2025-04-27,2,0
SENSOR-00100,Colina Alta,-23.360614,-46.416472,29.27,38.73,6.43,58.71,Médio,2025-05-27,0,2
SENSOR-00101,Colina Alta,-23.229387,-46.615405,24.83,40.07,9.99,32.41,Alto,2025-03-23,0,0
SENSOR-00102,Vale Seguro,-23.256367,-46.683721,15.99,59.02,0.91,25.97,Alto,2025-03-09,4,0
SENSOR-00103,Colina Alta,-23.170031,-46.601304,21.66,84.43,8.49,47.42,Alto,2025-05-09,0,0
SENSOR-00104,Encosta Verde,-23.332717,-46.70281,32.64,56.53,2.87,51.33,Baixo,2025-05-21,1,1
SENSOR-00105,Morro Azul,-23.301999,-46.490672,27.44,86.7,9.49,22.81,Alto,2025-03-23,2,0
SENSOR-00106,Serra Branca,-23.467934,-46.717265,35.14,31.38,7.27,43.76,Alto,2025-05-26,3,0
SENSOR-00107,Morro Azul,-23.049708,-46.474405,37.8,87.09,8.59,28.55,Alto,2025-05-11,2,0
SENSOR-00108,Morro Azul,-23.03839,-46.310582,21.45,53.43,4.95,97.01,Médio,2025-04-06,2,2
SENSOR-00109,Colina Alta,-23.354465,-46.763584,30.41,29.72,3.01,55.19,Baixo,2025-05-29,0,1
SENSOR-00110,Encosta Verde,-23.257557,-46.64308,27.3,39.69,7.44,81.86,Alto,2025-04-30,1,0
SENSOR-00111,Serra Branca,-23.225006,-46.750324,18.84,42.21,4.51,2.94,Alto,2025-05-21,3,0
SENSOR-00112,Serra Branca,-23.372257,-46.440293,26.82,39.92,7.04,16.91,Alto,2025-05-25,3,0
SENSOR-00113,Vale Seguro,-23.480302,-46.632328,33.51,49.01,9.9,35.14,Alto,2025-04-18,4,0
SENSOR-00114,Morro Azul,-23.272062,-46.784961,34.45,86.71,3.5,46.59,Médio,2025-05-07,2,2
SENSOR-00115,Colina Alta,-23.264179,-46.305396,31.48,21.61,1.26,58.46,Baixo,2025-04-26,0,1
SENSOR-00116,Serra Branca,-23.486748,-46.685446,23.68,70.12,9.63,59.64,Alto,2025-04-25,3,0
SENSOR-00117,Morro Azul,-23.221709,-46.540908,36.73,66.99,4.11,71.49,Médio,2025-04-26,2,2
SENSOR-00118,Encosta Verde,-23.421889,-46.700598,38.66,65.42,3.9,40.4,Médio,2025-04-07,1,2
SENSOR-00119,Encosta Verde,-23.265051,-46.539587,23.57,39.68,2.44,78.23,Baixo,2025-05-06,1,1
SENSOR-00120,Serra Branca,-23.492441,-46.695742,29.98,31.11,2.3,74.17,Baixo,2025-04-10,3,1
SENSOR-00121,Serra Branca,-23.344107,-46.669236,19.22,99.71,7.41,99.95,Alto,2025-04-23,3,0
SENSOR-00122,Serra Branca,-23.448483,-46.372004,35.63,49.17,5.24,85.18,Médio,2025-03-15,3,2
SENSOR-00123,Encosta Verde,-23.369177,-46.450388,15.69,22.1,6.15,18.11,Alto,2025-05-04,1,0
SENSOR-00124,Serra Branca,-23.348228,-46.405365,20.71,71.62,1.36,69.65,Baixo,2025-04-12,3,1
SENSOR-00125,Vale Seguro,-23.069471,-46.379164,37.42,50.07,8.94,10.24,Alto,2025-04-04,4,0
SENSOR-00126,Colina Alta,-23.160159,-46.685888,21.05,88.67,4.32,4.7,Alto,2025-05-13,0,0
SENSOR-00127,Vale Seguro,-23.051157,-46.796237,31.75,80.39,1.38,94.43,Baixo,2025-04-08,4,1
SENSOR-00128,Serra Branca,-23.447139,-46.479354,23.98,43.97,6.28,8.96,Alto,2025-03-18,3,0
SENSOR-00129,Serra Branca,-23.352235,-46.500603,34.02,64.57,1.18,13.24,Alto,2025-03-20,3,0
SENSOR-00130,Morro Azul,-23.223052,-46.729294,35.95,88.53,8.19,32.32,Alto,2025-04-02,2,0
SENSOR-00131,Serra Branca,-23.020494,-46.62731,35.07,28.9,9.61,90.06,Alto,2025-05-07,3,0
SENSOR-00132,Morro Azul,-23.227496,-46.380589,15.62,23.97,5.27,87.55,Médio,2025-05-23,2,2
SENSOR-00133,Morro Azul,-23.32004,-46.723196,27.12,97.8,9.62,83.06,Alto,2025-05-26,2,0
SENSOR-00134,Serra Branca,-23.016722,-46.597057,20.23,42.8,3.01,20.79,Alto,2025-04-20,3,0
SENSOR-00135,Vale Seguro,-23.455029,-46.325977,33.88,24.11,3.51,83.76,Baixo,2025-04-20,4,1
SENSOR-00136,Colina Alta,-23.094021,-46.451854,28.02,32.48,8.21,21.69,Alto,2025-04-14,0,0
SENSOR-00137,Vale Seguro,-23.380748,-46.327927,23.65,79.26,0.48,97.25,Baixo,2025-03-11,4,1
SENSOR-00138,Encosta Verde,-23.048772,-46.786109,15.19,86.01,1.82,10.43,Alto,2025-03-11,1,0
SENSOR-00139,Morro Azul,-23.250973,-46.646797,18.72,52.25,6.93,54.51,Médio,2025-04-17,2,2
SENSOR-00140,Encosta Verde,-23.475127,-46.433685,37.83,95.85,7.23,15.07,Alto,2025-05-19,1,0
SENSOR-00141,Colina Alta,-23.076434,-46.718355,34.07,37.02,5.4,32.8,Médio,2025-04-20,0,2
SENSOR-00142,Encosta Verde,-23.122504,-46.390699,36.23,68.01,0.22,9.86,Alto,2025-04-16,1,0
SENSOR-00143,Colina Alta,-23.458982,-46.652973,23.19,51.76,4.05,56.96,Médio,2025-03-24,0,2
SENSOR-00144,Encosta Verde,-23.085102,-46.606544,26.74,28.18,8.69,99.7,Alto,2025-04-03,1,0
SENSOR-00145,Colina Alta,-23.192992,-46.392909,35.53,56.37,5.41,20.46,Alto,2025-04-17,0,0
SENSOR-00146,Morro Azul,-23.177432,-46.529096,26.95,59.2,0.92,26.69,Alto,2025-04-14,2,0
SENSOR-00147,Vale Seguro,-23.037052,-46.554109,39.39,58.74,4.54,35.24,Médio,2025-04-13,4,2
SENSOR-00148,Vale Seguro,-23.099611,-46.464811,20.06,45.51,9.08,66.12,Alto,2025-04-30,4,0
SENSOR-00149,Serra Branca,-23.18585,-46.743361,32.45,76.97,2.04,96.22,Baixo,2025-03-16,3,1
SENSOR-00150,Vale Seguro,-23.217955,-46.395944,30.99,49.47,7.27,23.73,Alto,2025-06-02,4,0
SENSOR-00151,Vale Seguro,-23.281638,-46.337098,19.2,50.68,7.44,39.16,Alto,2025-04-29,4,0
SENSOR-00152,Serra Branca,-23.495669,-46.416958,32.99,85.77,7.65,91.57,Alto,2025-05-13,3,0
SENSOR-00153,Colina Alta,-23.108107,-46.530267,19.92,73.01,6.63,60.92,Médio,2025-05-02,0,2
SENSOR-00154,Serra Branca,-23.371995,-46.671358,24.84,20.73,4.23,65.11,Médio,2025-04-19,3,2
SENSOR-00155,Colina Alta,-23.439605,-46.792715,15.54,34.56,4.04,33.4,Médio,2025-03-25,0,2
SENSOR-00156,Vale Seguro,-23.48809,-46.777355,21.33,43.8,0.06,67.4,Baixo,2025-03-13,4,1
SENSOR-00157,Serra Branca,-23.144226,-46.634918,22.17,37.48,4.76,19.49,Alto,2025-03-11,3,0
SENSOR-00158,Serra Branca,-23.331593,-46.631327,20.2,30.89,1.08,86.34,Baixo,2025-03-10,3,1
SENSOR-00159,Vale Seguro,-23.481692,-46.685701,33.04,97.3,2.13,22.55,Alto,2025-05-09,4,0
SENSOR-00160,Colina Alta,-23.453495,-46.51654,29.65,49.04,0.39,53.4,Baixo,2025-04-19,0,1
SENSOR-00161,Colina Alta,-23.301684,-46.6858,31.89,51.03,1.46,23.49,Alto,2025-03-06,0,0
SENSOR-00162,Morro Azul,-23.181787,-46.430186,25.35,29.76,2.76,83.3,Baixo,2025-05-16,2,1
SENSOR-00163,Vale Seguro,-23.214683,-46.782584,38.7,55.37,8.07,10.14,Alto,2025-06-01,4,0
SENSOR-00164,Serra Branca,-23.369272,-46.623017,28.93,64.84,0.66,43.14,Médio,2025-04-13,3,2
SENSOR-00165,Vale Seguro,-23.49399,-46.595068,18.36,64.06,6.08,19.5,Alto,2025-05-30,4,0
SENSOR-00166,Colina Alta,-23.047578,-46.458839,23.28,41.22,6.4,71.39,Médio,2025-03-13,0,2
SENSOR-00167,Morro Azul,-23.063079,-46.412249,29.16,96.84,6.66,39.35,Médio,2025-04-05,2,2
SENSOR-00168,Vale Seguro,-23.14773,-46.608364,19.67,49.62,3.09,39.12,Médio,2025-03-28,4,2
SENSOR-00169,Morro Azul,-23.079782,-46.47802,38.51,45.25,3.84,82.78,Baixo,2025-03-21,2,1
SENSOR-00170,Vale Seguro,-23.062258,-46.547037,26.93,21.22,8.55,33.79,Alto,2025-03-28,4,0
SENSOR-00171,Vale Seguro,-23.457447,-46.400711,24.0,85.3,1.9,75.25,Baixo,2025-05-28,4,1
SENSOR-00172,Colina Alta,-23.245016,-46.647774,19.04,72.81,9.41,76.5,Alto,2025-03-11,0,0
SENSOR-00173,Encosta Verde,-23.486623,-46.762385,22.79,63.72,0.1,58.08,Baixo,2025-03-22,1,1
SENSOR-00174,Vale Seguro,-23.323882,-46.795646,20.46,74.43,8.77,87.0,Alto,2025-04-09,4,0
SENSOR-00175,Morro Azul,-23.130392,-46.455874,15.05,69.61,7.02,41.66,Alto,2025-05-21,2,0
SENSOR-00176,Encosta Verde,-23.420142,-46.586737,19.03,22.33,0.87,55.4,Baixo,2025-04-02,1,1
SENSOR-00177,Colina Alta,-23.106917,-46.375723,34.22,78.76,3.74,14.03,Alto,2025-03-24,0,0
SENSOR-00178,Morro Azul,-23.040374,-46.698027,30.29,66.26,9.79,99.09,Alto,2025-04-22,2,0
SENSOR-00179,Colina Alta,-23.488562,-46.647628,26.1,86.12,5.98,52.61,Médio,2025-05-04,0,2
SENSOR-00180,Serra Branca,-23.325578,-46.554044,34.62,40.85,7.0,59.44,Médio,2025-04-26,3,2
SENSOR-00181,Colina Alta,-23.313708,-46.3079,33.5,27.16,4.13,62.84,Médio,2025-03-13,0,2
SENSOR-00182,Morro Azul,-23.449222,-46.75448,39.44,50.37,7.47,85.5,Alto,2025-04-01,2,0
SENSOR-00183,Vale Seguro,-23.242538,-46.656553,17.44,99.36,9.34,82.57,Alto,2025-05-04,4,0
SENSOR-00184,Morro Azul,-23.065017,-46.655855,27.74,95.26,9.83,64.93,Alto,2025-03-27,2,0
SENSOR-00185,Serra Branca,-23.18271,-46.321964,23.78,59.59,7.19,50.7,Alto,2025-06-01,3,0
SENSOR-00186,Encosta Verde,-23.454341,-46.477345,19.51,31.98,3.77,17.02,Alto,2025-05-25,1,0
SENSOR-00187,Vale Seguro,-23.3417,-46.6888,25.15,30.16,5.78,97.17,Médio,2025-04-07,4,2
SENSOR-00188,Encosta Verde,-23.101469,-46.50046,31.31,66.78,6.94,92.77,Médio,2025-04-20,1,2
SENSOR-00189,Encosta Verde,-23.042755,-46.540845,23.95,31.4,1.63,7.07,Alto,2025-05-25,1,0
SENSOR-00190,Encosta Verde,-23.01518,-46.785611,25.06,61.12,7.0,2.25,Alto,2025-05-02,1,0
SENSOR-00191,Encosta Verde,-23.377171,-46.537678,37.81,64.04,8.49,80.62,Alto,2025-04-06,1,0
SENSOR-00192,Colina Alta,-23.096664,-46.465536,20.9,75.12,9.91,22.24,Alto,2025-03-19,0,0
SENSOR-00193,Serra Branca,-23.489849,-46.455645,32.06,90.16,4.91,16.12,Alto,2025-03-05,3,0
SENSOR-00194,Encosta Verde,-23.096663,-46.702455,29.51,46.94,0.45,10.94,Alto,2025-04-29,1,0
SENSOR-00195,Serra Branca,-23.10928,-46.658058,34.41,26.44,0.7,84.0,Baixo,2025-03-19,3,1
SENSOR-00196,Serra Branca,-23.015959,-46.660449,24.81,28.59,4.01,12.22,Alto,2025-05-02,3,0
SENSOR-00197,Morro Azul,-23.255261,-46.594601,39.01,47.57,4.54,23.47,Alto,2025-04-26,2,0
SENSOR-00198,Serra Branca,-23.001379,-46.315402,36.58,70.75,3.36,98.74,Baixo,2025-04-06,3,1
SENSOR-00199,Serra Branca,-23.298828,-46.539,20.53,41.54,9.83,7.84,Alto,2025-04-19,3,0
SENSOR-00200,Serra Branca,-23.347606,-46.394957,24.93,36.39,7.9,52.91,Alto,2025-05-18,3,0
SENSOR-00201,Colina Alta,-23.108383,-46.705468,27.67,23.07,1.09,80.63,Baixo,2025-05-30,0,1
SENSOR-00202,Vale Seguro,-23.418004,-46.604888,16.89,28.33,9.04,81.84,Alto,2025-05-13,4,0
SENSOR-00203,Morro Azul,-23.269522,-46.44314,23.24,51.62,0.41,9.44,Alto,2025-03-20,2,0
SENSOR-00204,Morro Azul,-23.069647,-46.66498,33.59,31.91,6.03,2.26,Alto,2025-03-17,2,0
SENSOR-00205,Morro Azul,-23.140134,-46.606293,34.92,41.76,3.62,42.43,Médio,2025-06-02,2,2
SENSOR-00206,Colina Alta,-23.270919,-46.632257,28.06,89.45,7.87,62.4,Alto,2025-03-30,0,0
SENSOR-00207,Encosta Verde,-23.313401,-46.544694,16.9,31.52,4.33,56.04,Médio,2025-04-15,1,2
SENSOR-00208,Colina Alta,-23.463114,-46.438452,38.94,66.74,5.17,64.68,Médio,2025-05-24,0,2
SENSOR-00209,Encosta Verde,-23.094242,-46.661087,21.9,48.83,3.2,99.56,Baixo,2025-04-20,1,1
SENSOR-00210,Encosta Verde,-23.365773,-46.663289,21.63,41.34,3.45,16.24,Alto,2025-03-28,1,0
SENSOR-00211,Morro Azul,-23.376967,-46.577548,37.81,75.36,8.01,98.7,Alto,2025-05-09,2,0
SENSOR-00212,Vale Seguro,-23.430121,-46.531367,27.66,60.94,9.62,22.31,Alto,2025-03-23,4,0
SENSOR-00213,Encosta Verde,-23.255665,-46.695935,21.12,43.52,2.8,97.38,Baixo,2025-03-15,1,1
SENSOR-00214,Encosta Verde,-23.382839,-46.396497,34.26,55.58,4.71,71.82,Médio,2025-04-12,1,2
SENSOR-00215,Colina Alta,-23.294434,-46.315891,24.42,57.13,3.48,46.11,Médio,2025-04-25,0,2
SENSOR-00216,Vale Seguro,-23.089988,-46.508736,31.53,58.44,6.47,90.13,Médio,2025-03-14,4,2
SENSOR-00217,Colina Alta,-23.011818,-46.417702,28.36,96.39,6.29,99.48,Médio,2025-03-30,0,2
SENSOR-00218,Vale Seguro,-23.346996,-46.71688,30.21,20.33,3.35,91.48,Baixo,2025-03-27,4,1
SENSOR-00219,Vale Seguro,-23.087037,-46.30944,32.84,31.44,9.06,64.24,Alto,2025-05-03,4,0
SENSOR-00220,Vale Seguro,-23.412301,-46.704903,24.21,77.03,0.3,70.78,Baixo,2025-03-16,4,1
SENSOR-00221,Colina Alta,-23.094386,-46.683701,15.14,69.11,5.97,41.29,Médio,2025-05-14,0,2
SENSOR-00222,Serra Branca,-23.436911,-46.459227,23.57,60.76,2.92,70.56,Baixo,2025-04-06,3,1
SENSOR-00223,Morro Azul,-23.06454,-46.609791,31.25,22.87,3.67,70.79,Baixo,2025-04-27,2,1
SENSOR-00224,Encosta Verde,-23.166405,-46.304287,35.63,54.26,8.51,34.92,Alto,2025-05-13,1,0
SENSOR-00225,Morro Azul,-23.474358,-46.600802,17.6,75.91,7.87,78.2,Alto,2025-05-21,2,0
SENSOR-00226,Encosta Verde,-23.244843,-46.400013,18.0,68.02,5.96,88.06,Médio,2025-05-16,1,2
SENSOR-00227,Vale Seguro,-23.193477,-46.485482,23.46,94.4,7.78,63.5,Alto,2025-04-14,4,0
SENSOR-00228,Serra Branca,-23.014136,-46.408286,24.51,86.63,4.18,18.63,Alto,2025-03-24,3,0
SENSOR-00229,Morro Azul,-23.195422,-46.303091,39.65,27.66,6.09,99.9,Médio,2025-03-24,2,2
SENSOR-00230,Encosta Verde,-23.346526,-46.690675,35.45,28.53,3.1,59.39,Baixo,2025-03-20,1,1
SENSOR-00231,Morro Azul,-23.468595,-46.630634,15.53,28.07,9.59,0.85,Alto,2025-04-14,2,0
SENSOR-00232,Encosta Verde,-23.372238,-46.41686,31.47,79.83,5.02,94.63,Médio,2025-03-31,1,2
